iter	Passed	Remaining
1329	292241	249394
1330	292409	249129
1331	292595	248882
1332	292667	248537
1333	292781	248227
1334	292887	247911
1335	293080	247670
1336	293265	247422
1337	293461	247183
1338	293640	246929
1339	293762	246629
1340	293848	246298
1341	294065	246076
1342	294246	245826
1343	294428	245576
1344	294635	245347
1345	294836	245113
1346	295043	244884
1347	295216	244626
1348	295433	244405
1349	295607	244149
1350	295791	243902
1351	295975	243654
1352	296169	243414
1353	296358	243171
1354	296556	242935
1355	296763	242707
1356	296955	242466
1357	297135	242215
1358	297338	241983
1359	297526	241740
1360	297733	241511
1361	297817	241184
1362	297989	240927
1363	298176	240683
1364	298383	240455
1365	298565	240207
1366	298749	239961
1367	298829	239631
1368	299034	239402
1369	299222	239159
1370	299407	238914
1371	299546	238632
1372	299762	238412
1373	299962	238179
1374	300061	237867
1375	300276	237646
1376	300434	237380
1377	300653	237162
1378	300841	236920
1379	301182	236799
1380	301420	236596
1381	301659	236394
1382	301937	236222
1383	302351	236157
1384	302651	236002
1385	302923	235825
1386	303118	235589
1387	303319	235356
1388	303447	235067
1389	303590	234791
1390	303739	234519
1391	303914	234267
1392	304022	233964
1393	304117	233651
1394	304278	233388
1395	304378	233080
1396	304538	232817
1397	304616	232493
1398	304777	232231
1399	304863	231914
1400	304987	231625
1401	305184	231392
1402	305421	231188
1403	305525	230885
1404	305687	230625
1405	305786	230318
1406	305987	230088
1407	306196	229864
1408	306424	229655
1409	306661	229452
1410	306893	229245
1411	307145	229054
1412	307352	228828
1413	307437	228512
1414	307628	228275
1415	307773	228004
1416	307982	227780
1417	308201	227565
1418	308378	227317
1419	308572	227083
1420	308654	226766
1421	308820	226511
1422	309020	226282
1423	309214	226048
1424	309400	225807
1425	309583	225565
1426	309718	225289
1427	309908	225052
1428	310034	224769
1429	310215	224526
1430	310386	224276
1431	310586	224047
1432	310693	223751
1433	310894	223523
1434	311116	223310
1435	311311	223077
1436	311504	222843
1437	311610	222547
1438	311809	222318
1439	311918	222025
1440	312048	221747
1441	312167	221461
1442	312261	221158
1443	312475	220940
1444	312693	220725
1445	312908	220507
1446	313111	220281
1447	313257	220015
1448	313445	219779
1449	313654	219558
1450	313870	219341
1451	314109	219140
1452	314304	218910
1453	314491	218673
1454	314677	218435
1455	314801	218155
1456	314975	217910
1457	315067	217608
1458	315257	217373
1459	315435	217132
1460	315634	216903
1461	315847	216685
1462	316072	216475
1463	316282	216255
1464	316378	215957
1465	316570	215726
1466	316791	215513
1467	316980	215278
1468	317155	215035
1469	317344	214801
1470	317542	214573
1471	317627	214269
1472	317818	214036
1473	317915	213741
1474	318091	213498
1475	318171	213191
1476	318323	212933
1477	318499	212692
1478	318657	212438
1479	318750	212141
1480	318838	211841
1481	319026	211607
1482	319204	211367
1483	319371	211121
1484	319569	210894
1485	319737	210648
1486	319885	210388
1487	319985	210098
1488	320157	209854
1489	320349	209624
1490	320542	209395
1491	320737	209167
1492	320891	208912
1493	321037	208652
1494	321244	208432
1495	321430	208199
1496	321511	207897
1497	321592	207596
1498	321780	207364
1499	321976	207138
1500	322166	206907
1501	322249	206608
1502	322321	206302
1503	322497	206063
1504	322547	205744
1505	322746	205520
1506	322927	205285
1507	323109	205050
1508	323294	204817
1509	323403	204536
1510	323589	204304
1511	323784	204078
1512	323979	203852
1513	324175	203626
1514	324377	203405
1515	324499	203133
1516	324570	202829
1517	324683	202552
1518	324885	202331
1519	325086	202109
1520	325295	201892
1521	325428	201628
1522	325642	201415
1523	325886	201219
1524	326119	201018
1525	326230	200740
1526	326464	200539
1527	326584	200268
1528	326773	200039
1529	326905	199775
1530	327134	199571
1531	327318	199339
1532	327527	199122
1533	327639	198847
1534	327695	198538
1535	327788	198252
1536	327913	197985
1537	328018	197706
1538	328247	197502
1539	328449	197282
1540	328686	197083
1541	328886	196862
1542	329008	196594
1543	329297	196427
1544	329531	196225
1545	329673	195970
1546	329912	195772
